X	Y	flickr	survey	popcount
229893.65015872	971311.99149234	0.00000000	11.00000000	97.94618225
239893.65015872	971311.99149234	7.00000000	13.00000000	43.84054947
249893.65015872	971311.99149234	0.00000000	8.00000000	31.26815224
259893.65015872	971311.99149234	0.00000000	6.00000000	12.48818016
269893.65015872	971311.99149234	0.00000000	6.00000000	0.00000000
279893.65015872	971311.99149234	1.00000000	9.00000000	2.69902611
289893.65015872	971311.99149234	0.00000000	9.00000000	0.00000000
299893.65015872	971311.99149234	0.00000000	11.00000000	156.48840332
309893.65015872	971311.99149234	3.00000000	12.00000000	6266.72802734
319893.65015872	971311.99149234	4.00000000	17.00000000	474.65942383
329893.65015872	971311.99149234	1.00000000	14.00000000	644.42016602
339893.65015872	971311.99149234	7.00000000	14.00000000	298.45639038
349893.65015872	971311.99149234	0.00000000	4.00000000	0.00000000
359893.65015872	971311.99149234	0.00000000	1.00000000	0.00000000
369893.65015872	971311.99149234	0.00000000	1.00000000	0.00000000
89893.65015872	961311.99149234	0.00000000	1.00000000	0.00000000
99893.65015872	961311.99149234	0.00000000	2.00000000	0.00000000
109893.65015872	961311.99149234	0.00000000	3.00000000	0.00000000
